Monday,7/05/2018,1 USD =,67.1331 INR,
Sunday,6/05/2018,1 USD =,66.8201 INR,
Saturday,5/05/2018,1 USD =,66.8208 INR,
Friday,4/05/2018,1 USD =,66.8203 INR,
Thursday,3/05/2018,1 USD =,66.6701 INR,
Wednesday,2/05/2018,1 USD =,66.8117 INR,
Tuesday,1/05/2018,1 USD =,66.7989 INR,
Monday,30/04/2018,1 USD =,66.4627 INR,
Sunday,29/04/2018,1 USD =,66.5735 INR,
Saturday,28/04/2018,1 USD =,66.5139 INR,
Friday,27/04/2018,1 USD =,66.5139 INR,
Thursday,26/04/2018,1 USD =,66.91 INR,
Wednesday,25/04/2018,1 USD =,66.92 INR,
Tuesday,24/04/2018,1 USD =,66.4159 INR,
Monday,23/04/2018,1 USD =,66.5468 INR,
Sunday,22/04/2018,1 USD =,66.2062 INR,
Saturday,21/04/2018,1 USD =,66.1991 INR,
Friday,20/04/2018,1 USD =,66.2084 INR,
Thursday,19/04/2018,1 USD =,66.1255 INR,
Wednesday,18/04/2018,1 USD =,65.7202 INR,
Tuesday,17/04/2018,1 USD =,65.6812 INR,
Monday,16/04/2018,1 USD =,65.4679 INR,
Sunday,15/04/2018,1 USD =,65.2062 INR,
Saturday,14/04/2018,1 USD =,65.2061 INR,
Friday,13/04/2018,1 USD =,65.2061 INR,
Thursday,12/04/2018,1 USD =,65.2892 INR,
Wednesday,11/04/2018,1 USD =,65.195 INR,
Tuesday,10/04/2018,1 USD =,64.9484 INR,
Monday,9/04/2018,1 USD =,64.8755 INR,
Sunday,8/04/2018,1 USD =,64.9171 INR,
Saturday,7/04/2018,1 USD =,64.9211 INR,
Friday,6/04/2018,1 USD =,64.9193 INR,
Thursday,5/04/2018,1 USD =,64.891 INR,
Wednesday,4/04/2018,1 USD =,65.0428 INR,
Tuesday,3/04/2018,1 USD =,64.915 INR,
Monday,2/04/2018,1 USD =,65.1342 INR,
